school,sex,age,Pstatus,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,por_absences,por_G1,por_G2,por_G3,mat_absences,mat_G1,mat_G2,mat_G3
GP,M,15,T,4,4,1,1,0,5,3,3,1,1,5,2,12,13,12,4,10,13,14
GP,F,15,T,3,2,2,2,0,4,3,5,1,1,2,16,11,10,10,26,7,6,6
GP,M,15,A,3,4,1,2,0,5,4,4,1,1,1,0,16,16,16,0,16,18,18
GP,F,15,A,3,3,1,4,0,4,3,3,1,1,4,10,10,10,10,10,10,11,11
GP,F,15,T,2,2,1,4,0,5,1,2,1,1,3,4,10,10,10,8,7,8,8
GP,M,16,T,3,3,1,3,0,5,3,3,1,1,5,4,13,14,14,2,16,18,18
GP,M,15,T,4,4,4,4,0,1,3,5,3,5,1,8,12,10,11,6,10,13,13
GP,F,16,T,4,4,1,3,0,5,4,5,1,1,4,2,15,15,14,4,14,15,16
GP,M,15,A,4,4,1,1,0,5,5,3,1,1,4,4,13,14,14,6,18,19,19
GP,F,16,T,2,2,1,2,1,3,1,2,1,1,5,12,8,10,10,6,10,13,13
GP,M,15,T,4,2,1,1,0,3,5,2,1,1,3,10,18,17,18,10,18,19,19
GP,M,15,T,2,1,1,2,0,5,4,2,1,1,5,4,10,9,10,8,9,9,9
GP,M,16,T,4,4,1,2,0,5,4,4,1,2,5,6,16,14,14,2,15,15,16
GP,M,15,T,4,4,2,2,0,4,4,3,1,1,2,4,16,15,16,2,11,13,14
GP,M,16,T,3,3,2,1,0,5,4,2,1,1,5,6,14,14,15,0,13,14,13
GP,M,17,T,1,3,3,2,1,5,2,4,1,4,5,14,12,11,11,20,9,7,8
GP,M,15,T,3,4,1,1,0,3,4,3,1,2,4,2,14,13,14,6,14,13,13
GP,F,15,T,1,2,1,2,0,3,2,3,1,2,1,0,14,14,14,2,16,15,15
GP,M,15,T,2,2,1,4,0,5,5,4,1,2,5,6,14,13,13,6,16,14,15
GP,F,16,T,2,4,2,2,0,4,2,2,1,2,5,2,14,12,13,2,13,13,13
GP,M,16,T,4,4,1,1,0,3,4,4,1,4,5,4,12,13,13,18,14,11,13
GP,F,16,T,2,2,1,2,0,5,4,4,1,1,5,0,12,11,11,0,8,7,8
GP,M,15,T,3,4,1,1,0,5,5,5,3,2,5,2,9,9,9,0,13,13,12
GP,F,15,A,3,4,1,2,0,5,3,2,1,1,1,0,10,11,11,0,7,10,11
GP,M,16,T,4,4,1,1,0,3,5,5,2,5,4,8,14,14,15,8,18,18,18
GP,F,15,T,1,1,3,1,0,4,3,3,1,2,4,6,11,12,13,0,8,0,0
GP,F,17,T,2,2,1,1,0,3,4,4,1,3,5,2,13,12,12,12,10,13,12
GP,F,16,A,3,4,1,1,0,3,2,1,1,4,5,12,15,13,14,16,12,11,11
GP,M,15,T,3,4,4,2,0,5,3,3,1,1,5,2,12,11,11,0,9,0,0
GP,F,15,T,4,4,1,3,0,4,3,3,1,1,5,4,13,14,15,0,11,0,0
GP,M,17,T,3,4,3,2,0,5,4,5,2,4,5,2,10,9,10,0,10,0,0
GP,F,15,T,4,4,2,1,0,4,3,2,1,1,5,6,13,14,14,0,16,16,15
GP,M,15,T,4,3,2,4,0,2,2,2,1,1,3,6,9,11,11,0,7,9,0
GP,F,15,T,4,4,1,3,0,4,2,2,1,1,5,2,13,13,13,2,9,11,11
GP,F,16,T,1,1,1,1,0,3,4,4,3,3,1,4,10,11,11,2,14,14,13
GP,F,15,T,1,1,1,2,0,4,4,2,1,2,5,0,12,12,12,0,8,11,11
GP,F,15,T,1,2,1,2,0,4,3,2,1,1,5,6,13,12,13,2,10,11,11
GP,M,16,T,4,4,1,1,0,3,3,2,2,1,5,16,9,9,8,0,7,6,0
GP,M,16,T,2,1,1,1,1,4,4,4,3,5,5,6,9,10,10,6,12,13,14
GP,F,17,T,4,4,1,1,0,4,2,1,1,1,4,0,13,13,13,0,11,11,12
GP,M,15,T,2,3,1,2,0,4,4,4,1,1,1,0,7,8,8,2,11,8,8
GP,F,18,T,1,1,3,1,3,5,2,5,1,5,4,6,11,10,11,6,9,8,10
GP,M,16,T,2,2,3,1,0,4,2,2,1,2,3,4,12,10,11,2,17,15,15
GP,M,16,T,3,3,1,2,1,4,5,5,4,4,5,0,10,10,1,4,10,12,12
GP,M,16,T,2,2,1,2,0,4,3,5,2,4,4,0,9,10,11,4,10,10,10
GP,F,16,T,4,2,1,2,0,4,2,3,1,1,3,0,17,17,18,0,14,15,16
GP,F,16,T,2,2,1,2,0,5,1,5,1,1,4,0,12,12,13,0,6,7,0
GP,F,16,T,4,4,1,2,0,4,4,2,1,1,3,0,16,16,17,0,14,14,14
GP,M,16,T,1,0,2,2,0,4,3,2,1,1,3,0,16,17,18,2,13,15,16
GP,M,17,T,4,4,1,2,0,4,4,4,1,3,5,0,11,9,10,0,13,11,10
GP,F,16,T,3,3,2,2,0,4,4,5,1,1,4,0,14,14,15,4,10,11,9
GP,M,17,T,4,3,2,2,0,4,4,4,4,4,4,0,10,11,11,4,10,9,9
GP,F,16,T,2,2,2,2,0,3,4,4,1,4,5,0,13,12,14,2,13,13,11
GP,M,17,T,3,3,1,2,0,4,3,4,1,4,4,4,11,9,10,4,6,5,6
GP,M,16,T,4,2,1,1,0,4,3,3,3,4,3,8,10,9,11,10,10,8,9
GP,M,17,T,4,3,1,2,0,5,2,3,1,1,2,4,11,11,13,4,10,10,11
GP,M,16,T,4,3,1,2,0,3,4,3,2,3,3,4,11,10,11,10,9,8,8
GP,M,16,T,3,3,1,2,0,4,2,3,1,2,3,0,11,12,13,2,12,13,12
GP,F,17,T,2,4,1,2,0,5,4,2,2,3,5,0,17,18,17,0,16,17,17
GP,F,17,T,3,3,1,2,0,5,3,3,2,3,1,32,14,13,14,56,9,9,8
GP,F,16,T,3,2,1,2,0,1,2,2,1,2,1,8,14,15,16,14,12,13,12
GP,M,17,T,3,3,1,2,0,4,3,4,2,3,4,6,11,13,14,12,12,12,11
GP,M,16,T,1,2,1,1,0,3,3,3,1,2,3,0,10,9,11,2,11,12,11
GP,M,16,T,2,1,1,2,0,4,2,3,1,2,5,0,13,14,16,0,15,15,15
GP,F,17,A,3,3,1,2,0,3,3,3,1,3,3,10,12,13,14,6,8,7,9
GP,M,17,T,1,2,1,2,0,3,1,3,1,5,3,6,9,9,10,4,8,9,10
GP,F,16,T,2,3,1,2,0,4,3,3,1,1,2,6,12,12,13,10,11,12,13
GP,F,17,T,1,1,1,2,0,5,3,3,1,1,3,0,12,11,12,4,5,5,6
GP,F,17,T,1,1,1,2,0,5,3,3,1,1,3,0,12,11,12,0,8,8,9
GP,M,17,T,1,2,2,2,0,4,4,4,4,5,5,16,10,11,12,12,7,8,8
GP,M,16,T,3,3,1,1,0,4,3,2,3,4,5,0,11,10,10,8,8,9,10
GP,M,16,T,2,3,2,1,0,5,3,3,1,1,3,0,13,12,12,0,13,14,14
GP,F,17,T,2,4,1,2,0,4,3,2,1,1,5,8,14,15,16,0,14,15,15
GP,M,17,T,4,4,1,1,0,5,2,3,1,2,5,4,13,13,14,4,17,15,16
GP,M,16,T,3,3,3,1,0,3,3,4,3,5,3,16,10,11,12,8,9,9,10
GP,F,17,T,4,4,2,1,1,4,2,4,2,3,2,30,14,15,16,24,18,18,18
GP,F,16,T,4,4,1,2,0,4,5,2,1,2,3,0,11,10,11,0,9,9,10
GP,F,16,T,4,3,1,2,0,4,3,5,1,5,2,2,14,14,15,2,16,16,16
GP,F,16,T,2,3,1,2,0,4,4,3,1,3,4,4,11,12,12,6,8,10,10
GP,F,17,T,1,1,1,2,0,4,4,4,1,3,1,0,14,15,15,4,9,9,10
GP,F,17,T,2,2,1,1,0,5,3,2,1,2,3,21,13,13,13,18,7,6,6
GP,F,16,T,2,2,2,4,0,5,3,5,1,1,5,6,13,13,13,6,10,10,11
GP,F,17,T,3,4,1,3,1,4,4,3,3,4,5,14,8,9,8,28,10,9,9
GP,F,16,T,4,3,1,2,0,1,3,2,1,1,1,4,14,15,15,10,11,12,13
GP,F,16,T,1,1,2,1,0,4,3,2,1,4,5,2,12,13,13,6,9,9,10
GP,F,17,T,4,3,2,3,0,4,4,2,1,1,4,0,11,12,12,6,7,7,7
GP,F,19,T,3,3,1,4,0,4,3,3,1,2,3,4,12,12,12,10,8,8,8
GP,M,17,T,4,4,1,2,0,5,3,5,4,5,3,15,13,12,12,13,12,12,13
GP,F,16,A,2,2,1,2,0,3,3,4,1,1,4,0,13,13,13,0,12,13,14
GP,F,17,T,4,4,1,1,0,5,2,1,1,2,3,6,12,11,11,12,8,10,10
GP,F,17,T,3,2,2,2,0,4,4,4,1,3,1,2,14,16,15,2,14,15,15
GP,F,17,T,2,3,2,1,0,3,3,3,1,4,3,4,12,13,13,3,7,7,8
GP,F,17,T,2,2,1,3,0,4,3,3,1,1,4,0,12,12,13,4,9,10,10
GP,F,17,T,2,1,2,2,0,4,2,5,1,2,5,0,11,10,11,2,6,6,6
GP,F,16,T,2,3,1,2,0,2,3,1,1,1,3,0,13,13,14,2,16,16,17
GP,F,16,T,4,4,1,3,0,5,3,2,1,1,5,4,15,16,16,0,13,13,14
GP,F,17,T,3,2,1,2,0,5,3,4,1,3,3,2,17,18,17,10,16,15,15
GP,M,17,T,2,3,1,2,0,5,3,3,1,3,3,0,10,11,11,2,12,11,12
GP,M,18,T,2,1,4,2,0,4,3,2,4,5,3,2,9,10,11,14,10,8,9
GP,F,17,A,2,1,2,3,0,3,2,3,1,2,3,0,15,15,16,10,12,10,12
GP,F,17,T,4,3,1,2,0,3,2,3,1,2,3,0,14,12,12,14,13,13,14
GP,M,17,T,2,2,2,2,0,4,5,2,1,1,1,0,12,13,13,4,11,11,11
GP,M,17,T,4,4,1,2,0,4,5,5,1,3,2,0,13,13,13,14,11,9,9
GP,M,16,T,4,4,1,2,0,4,2,4,2,4,1,0,13,13,14,2,14,13,13
GP,M,16,T,1,1,2,2,0,3,4,2,1,1,5,2,9,9,9,18,9,7,6
GP,M,16,T,3,2,2,3,0,5,3,3,1,3,2,0,12,12,12,10,11,9,10
GP,M,17,T,2,2,1,2,0,4,4,2,5,5,4,0,16,16,16,4,14,13,13
GP,F,16,T,2,1,1,1,0,4,5,2,1,1,5,4,9,10,10,20,13,12,12
GP,F,17,T,2,1,3,2,0,2,1,1,1,1,3,2,13,13,13,2,13,11,11
GP,M,17,T,4,3,2,2,0,2,5,5,1,4,5,8,15,15,15,14,12,12,12
GP,M,17,A,4,4,2,2,0,3,3,3,2,3,4,0,12,12,12,2,10,11,12
GP,M,16,T,4,3,1,1,0,5,4,5,1,1,3,7,14,14,15,0,6,0,0
GP,M,16,T,4,4,1,1,0,5,3,2,1,2,5,4,14,15,15,0,13,12,12
GP,F,18,T,2,1,2,3,0,4,4,4,1,1,3,10,12,10,11,0,7,0,0
GP,M,16,T,2,1,3,1,0,4,3,3,1,1,4,7,15,16,16,6,18,18,18
GP,M,17,T,2,3,2,1,0,5,2,2,1,1,2,2,9,12,13,4,12,12,13
GP,M,22,T,3,1,1,1,3,5,4,5,5,5,1,12,7,8,5,16,6,8,8
GP,M,16,T,0,2,1,1,0,4,3,2,2,4,5,0,11,12,11,0,13,15,15
GP,M,16,T,2,1,2,1,0,3,3,2,1,3,3,2,14,13,12,0,8,9,8
GP,M,17,T,2,1,1,1,0,4,4,2,2,4,5,0,12,12,13,0,8,12,12
GP,M,17,T,1,1,2,1,1,4,4,4,1,2,5,0,9,10,10,2,7,9,8
GP,F,17,T,4,2,1,4,0,4,2,3,1,1,4,2,14,15,17,6,14,12,13
GP,M,19,A,4,3,1,2,0,4,3,1,1,1,1,4,11,13,14,12,11,11,11
GP,M,18,T,2,1,1,2,0,5,2,4,1,2,4,2,16,16,16,8,15,14,14
GP,F,17,T,2,2,1,4,0,3,4,1,1,1,2,2,10,11,12,0,10,9,0
GP,F,18,T,4,3,1,2,0,3,1,2,1,3,2,2,15,15,15,21,17,18,18
GP,M,18,T,4,3,1,2,0,4,3,2,1,1,3,2,10,10,11,2,8,8,8
GP,M,18,T,3,2,1,3,0,5,3,2,1,1,3,2,10,11,12,1,13,12,12
GP,F,17,T,3,3,1,3,0,3,2,3,1,1,4,2,15,12,13,4,10,9,9
GP,F,18,T,2,2,1,3,0,4,3,3,1,1,3,0,11,12,13,0,9,10,0
GP,M,18,A,3,4,2,2,0,4,2,5,3,4,1,6,15,16,16,13,17,17,17
GP,M,17,T,3,1,1,2,0,5,4,4,3,4,5,0,11,11,14,2,9,9,10
GP,F,18,T,4,4,2,2,0,4,3,4,2,2,4,8,10,11,12,8,12,10,11
GP,M,18,T,4,2,1,2,0,5,4,5,1,3,5,4,10,12,14,10,10,9,10
GP,F,18,T,2,1,2,2,0,4,3,5,1,2,3,12,8,9,10,0,6,0,0
GP,F,18,T,2,3,1,4,0,4,5,5,1,3,2,10,16,16,16,4,15,14,14
GP,F,18,T,1,1,2,2,0,4,4,3,1,1,3,2,13,13,13,2,11,11,11
GP,M,17,T,1,2,1,2,0,3,5,2,2,2,1,2,16,17,18,2,15,14,14
GP,F,17,T,2,4,2,2,0,4,3,3,1,1,1,6,15,16,16,2,10,10,10
GP,F,17,T,2,2,2,2,0,4,4,4,2,3,5,6,12,12,12,6,12,12,12
GP,F,18,A,3,2,2,2,0,4,1,1,1,1,5,15,12,9,10,75,10,9,9
GP,M,18,T,4,4,2,1,0,3,2,4,1,4,3,6,11,12,12,22,9,9,9
GP,F,18,T,4,4,1,2,1,2,4,4,1,1,4,2,14,12,13,15,9,8,8
GP,M,18,T,4,3,2,1,0,4,2,3,1,2,1,0,10,10,10,8,10,11,10
GP,M,17,A,4,1,2,1,0,4,5,4,2,4,5,22,11,11,10,30,8,8,8
GP,F,18,T,1,1,2,4,0,5,2,2,1,1,3,2,17,17,18,1,12,12,12
GP,F,18,T,1,1,2,2,0,5,4,4,1,1,4,0,12,13,13,4,8,9,10
GP,F,17,T,2,2,1,2,0,5,4,5,1,2,5,12,12,12,14,4,10,9,11
GP,M,17,T,1,1,1,2,0,4,3,3,1,2,4,0,12,12,12,2,12,10,11
GP,F,18,T,2,2,1,3,0,4,3,3,1,2,2,0,18,18,18,5,18,18,19
GP,F,17,T,1,1,1,3,0,4,3,3,1,1,3,0,13,13,14,6,13,12,12
GP,M,18,T,2,1,1,3,0,4,2,4,1,3,2,0,14,15,15,6,15,14,14
GP,M,18,A,4,4,1,2,0,5,4,3,1,1,2,0,17,17,17,9,15,13,15
GP,M,18,T,4,2,1,2,0,4,3,2,1,4,5,2,15,16,16,11,12,11,11
GP,F,17,T,4,3,1,3,0,4,2,2,1,2,3,0,17,18,18,0,15,15,15
GP,F,17,T,3,1,2,4,0,3,1,2,1,1,3,0,18,19,19,6,18,18,18
GP,M,18,T,3,2,2,3,0,5,4,2,1,1,4,0,14,15,15,8,14,13,14
GP,M,17,T,3,3,1,1,0,4,4,3,1,3,5,0,14,15,15,4,14,12,11
GP,F,19,T,4,4,2,2,0,2,3,4,2,3,2,2,14,13,13,0,10,9,0
GP,F,18,T,4,3,2,2,0,4,4,5,1,2,2,0,13,14,14,10,10,8,8
GP,F,18,T,4,3,1,4,0,4,3,3,1,1,3,0,16,17,17,0,14,13,14
GP,M,18,T,4,4,1,1,0,1,4,2,2,2,1,0,18,18,17,5,16,15,16
GP,F,18,A,4,4,1,2,0,4,2,4,1,1,4,0,14,15,15,14,12,10,11
GP,M,17,T,4,4,2,1,0,4,1,1,2,2,5,0,12,13,13,0,11,11,10
GP,F,17,T,4,2,2,3,0,4,3,3,1,1,3,0,16,16,16,0,15,12,14
GP,F,17,T,3,2,1,4,0,5,2,2,1,2,5,0,18,18,18,0,17,17,18
GP,F,18,T,2,1,2,2,0,5,3,3,1,2,1,2,12,12,15,0,8,8,0
GP,F,18,T,4,3,1,3,0,4,3,4,1,1,5,2,14,15,17,9,9,10,9
GP,F,17,T,3,4,1,3,0,4,3,4,2,5,5,2,15,15,17,0,11,11,10
GP,F,18,T,4,4,1,2,0,4,4,4,3,3,5,0,12,11,13,2,11,11,11
GP,F,17,A,4,3,1,2,0,5,2,2,1,2,5,14,15,14,17,23,13,13,13
GP,F,17,T,2,2,1,2,0,4,2,2,1,1,3,4,14,13,13,12,11,9,9
GP,F,17,T,2,2,1,3,0,3,3,2,2,2,3,0,11,11,10,3,11,11,11
GP,F,17,T,3,1,1,3,0,3,4,3,2,3,5,0,17,18,17,1,12,14,15
GP,F,17,T,0,2,2,3,0,3,3,3,2,3,2,0,14,14,15,0,16,15,15
GP,M,18,T,4,4,1,3,0,4,3,3,2,2,3,0,13,14,13,3,9,12,11
GP,M,17,T,3,3,1,1,0,4,3,5,3,5,5,0,17,18,17,3,14,15,16
GP,M,17,T,2,2,4,1,0,4,4,5,5,5,4,2,11,10,10,8,11,10,10
GP,F,17,T,4,4,1,3,0,5,4,4,1,3,4,0,13,12,13,7,10,9,9
GP,F,17,T,4,4,2,3,0,4,3,3,1,2,4,4,15,14,15,4,14,14,14
GP,M,18,T,2,2,1,4,0,4,5,5,2,4,5,0,11,11,12,2,9,8,8
GP,F,17,T,2,4,1,3,0,4,4,3,1,1,5,0,15,15,15,7,12,14,14
GP,F,18,T,3,3,1,2,0,5,3,4,1,1,4,8,10,11,12,0,7,0,0
GP,F,18,T,2,2,1,2,0,4,3,3,1,1,2,0,10,9,12,0,8,8,0
GP,F,18,T,2,2,2,4,0,4,4,4,1,1,4,6,14,13,14,0,10,9,0
GP,F,17,T,3,4,1,3,0,4,4,5,1,3,5,8,11,13,14,16,16,15,15
GP,F,17,T,3,2,1,2,0,4,3,2,2,3,2,0,12,13,15,0,7,8,0
GP,F,18,T,3,3,1,4,0,5,3,3,1,1,1,4,14,14,15,7,16,15,17
GP,F,17,A,3,2,1,2,0,4,3,3,2,3,2,0,14,14,16,4,9,10,10
GP,M,18,T,3,4,1,2,0,4,3,3,1,3,5,6,16,16,17,11,16,15,15
GP,F,18,T,2,3,1,3,0,4,3,3,1,2,3,0,11,12,14,4,11,10,10
GP,F,18,T,3,2,1,3,0,5,4,3,2,3,1,4,14,16,17,7,13,13,14
GP,M,18,T,4,3,1,3,0,5,3,2,1,2,4,4,15,14,17,9,16,15,16
GP,M,18,T,4,3,1,3,0,5,4,5,2,3,5,0,14,13,14,0,10,10,9
GP,F,17,T,4,3,1,3,0,4,4,3,1,3,4,0,11,12,13,0,13,15,15
MS,M,19,T,1,1,3,1,1,4,4,4,3,3,5,4,8,9,10,4,8,8,8
MS,F,18,T,3,3,1,2,0,5,3,4,1,1,5,0,10,10,10,0,10,9,9
MS,F,17,T,4,4,2,2,0,4,3,3,1,2,5,2,12,12,12,4,12,13,13
MS,F,17,A,3,2,2,2,0,1,2,3,1,2,5,0,15,14,15,2,12,12,11
